[ 2025-12-15 15:20:45 | ActorPool | INFO ] Ray detected 1.0 GPU(s), allocating 0.25 GPU per actor
[ 2025-12-15 15:20:45 | ActorPool | INFO ] Initialized with 4 actors, 0.25 GPU per actor
[ 2025-12-15 15:20:45 | node | INFO ] InMemoryServer started at node
[ 2025-12-15 15:20:45 | node | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:20:45 | node_1 | INFO ] InMemoryServer started at node_1
[ 2025-12-15 15:20:45 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:20:45 | node_2 | INFO ] InMemoryServer started at node_2
[ 2025-12-15 15:20:45 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:20:45 | node_3 | INFO ] InMemoryServer started at node_3
[ 2025-12-15 15:20:45 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:20:45 | node_4 | INFO ] InMemoryServer started at node_4
[ 2025-12-15 15:20:45 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:20:45 | node_5 | INFO ] InMemoryServer started at node_5
[ 2025-12-15 15:20:45 | node_5 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:20:45 | node_6 | INFO ] InMemoryServer started at node_6
[ 2025-12-15 15:20:45 | node_6 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:20:46 | node_7 | INFO ] InMemoryServer started at node_7
[ 2025-12-15 15:20:46 | node_7 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:20:46 | node_8 | INFO ] InMemoryServer started at node_8
[ 2025-12-15 15:20:46 | node_8 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:20:46 | node_9 | INFO ] InMemoryServer started at node_9
[ 2025-12-15 15:20:46 | node_9 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:20:46 |  | INFO ] Connected nodes node and node_1
[ 2025-12-15 15:20:46 |  | INFO ] Connected nodes node and node_9
[ 2025-12-15 15:20:46 |  | INFO ] Connected nodes node_1 and node_2
[ 2025-12-15 15:20:46 |  | INFO ] Connected nodes node_2 and node_3
[ 2025-12-15 15:20:46 |  | INFO ] Connected nodes node_3 and node_4
[ 2025-12-15 15:20:46 |  | INFO ] Connected nodes node_4 and node_5
[ 2025-12-15 15:20:46 |  | INFO ] Connected nodes node_5 and node_6
[ 2025-12-15 15:20:46 |  | INFO ] Connected nodes node_6 and node_7
