round,metric_name,metric_value,scope
None,loss,10.81798267364502,global
None,loss,11.427050590515137,global
None,loss,10.748902320861816,global
None,loss,10.945246696472168,global
None,loss,10.959304809570312,global
1,loss,0.8826457262039185,global
1,loss,1.037796139717102,global
1,loss,0.6401365399360657,global
1,loss,0.34899017214775085,global
1,loss,0.9388710260391235,global
2,loss,3.103797197341919,global
2,loss,1.4896036386489868,global
2,loss,3.0687568187713623,global
2,loss,3.6644845008850098,global
2,loss,4.071902275085449,global
3,loss,4.716485500335693,global
3,loss,3.909802198410034,global
3,loss,4.066228866577148,global
3,loss,4.277128219604492,global
3,loss,3.3902385234832764,global
4,loss,5.487320423126221,global
4,loss,5.948742866516113,global
4,loss,7.658803939819336,global
4,loss,4.8155364990234375,global
4,loss,5.301837921142578,global
5,loss,13.51737117767334,global
5,loss,14.079577445983887,global
5,loss,7.342428684234619,global
5,loss,18.101028442382812,global
5,loss,17.236583709716797,global
6,loss,8.674981117248535,global
6,loss,14.596940040588379,global
6,loss,6.592194557189941,global
6,loss,7.059308052062988,global
6,loss,2.564683198928833,global
7,loss,22.941667556762695,global
7,loss,24.25244903564453,global
7,loss,29.144235610961914,global
7,loss,15.628948211669922,global
7,loss,6.711071491241455,global
8,loss,24.013057708740234,global
8,loss,13.417609214782715,global
8,loss,7.397457599639893,global
8,loss,7.180315971374512,global
8,loss,5.212932586669922,global
9,loss,30.48474884033203,global
9,loss,28.319963455200195,global
9,loss,24.70791244506836,global
9,loss,69.46265411376953,global
9,loss,37.010398864746094,global
10,loss,14.828081130981445,global
10,loss,15.083134651184082,global
10,loss,14.415095329284668,global
10,loss,17.597698211669922,global
10,loss,7.060004234313965,global
