[ 2025-12-15 15:05:59 | ActorPool | INFO ] Ray detected 1.0 GPU(s), allocating 0.25 GPU per actor
[ 2025-12-15 15:05:59 | ActorPool | INFO ] Initialized with 4 actors, 0.25 GPU per actor
[ 2025-12-15 15:05:59 | node | INFO ] InMemoryServer started at node
[ 2025-12-15 15:05:59 | node | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:05:59 | node_1 | INFO ] InMemoryServer started at node_1
[ 2025-12-15 15:05:59 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:05:59 | node_2 | INFO ] InMemoryServer started at node_2
[ 2025-12-15 15:05:59 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:05:59 | node_3 | INFO ] InMemoryServer started at node_3
[ 2025-12-15 15:05:59 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:05:59 | node_4 | INFO ] InMemoryServer started at node_4
[ 2025-12-15 15:05:59 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:05:59 | node_5 | INFO ] InMemoryServer started at node_5
[ 2025-12-15 15:05:59 | node_5 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:05:59 | node_6 | INFO ] InMemoryServer started at node_6
[ 2025-12-15 15:05:59 | node_6 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:05:59 | node_7 | INFO ] InMemoryServer started at node_7
[ 2025-12-15 15:05:59 | node_7 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:05:59 | node_8 | INFO ] InMemoryServer started at node_8
[ 2025-12-15 15:05:59 | node_8 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:05:59 | node_9 | INFO ] InMemoryServer started at node_9
[ 2025-12-15 15:05:59 | node_9 | INFO ] 🏁 Starting gossiper...
[ 2025-12-15 15:05:59 |  | INFO ] Connected nodes node and node_1
[ 2025-12-15 15:05:59 |  | INFO ] Connected nodes node and node_9
[ 2025-12-15 15:05:59 |  | INFO ] Connected nodes node_1 and node_2
[ 2025-12-15 15:05:59 |  | INFO ] Connected nodes node_2 and node_3
[ 2025-12-15 15:05:59 |  | INFO ] Connected nodes node_3 and node_4
[ 2025-12-15 15:05:59 |  | INFO ] Connected nodes node_4 and node_5
[ 2025-12-15 15:05:59 |  | INFO ] Connected nodes node_5 and node_6
[ 2025-12-15 15:05:59 |  | INFO ] Connected nodes node_6 and node_7
[ 2025-12-15 15:05:59 |  | INFO ] Connected nodes node_7 and node_8
[ 2025-12-15 15:06:00 |  | INFO ] Connected nodes node_8 and node_9
[ 2025-12-15 15:06:00 | node | INFO ] 🚀 Broadcasting start learning...
[ 2025-12-15 15:06:00 | node_1 | INFO ] 🔍 Neighbors found: ['node', 'node_2'] | Degree: 2
[ 2025-12-15 15:06:00 | node_9 | INFO ] 🔍 Neighbors found: ['node', 'node_8'] | Degree: 2
[ 2025-12-15 15:06:00 | node_1 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 15:06:00 | node_9 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 15:06:00 | node | INFO ] 🔍 Neighbors found: ['node_1', 'node_9'] | Degree: 2
[ 2025-12-15 15:06:00 | node | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 15:06:00 | node | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 15:06:01 | node_2 | INFO ] 🔍 Neighbors found: ['node_1', 'node_3'] | Degree: 2
[ 2025-12-15 15:06:01 | node_2 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 15:06:01 | node_3 | INFO ] 🔍 Neighbors found: ['node_2', 'node_4'] | Degree: 2
[ 2025-12-15 15:06:01 | node_3 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 15:06:01 | node_4 | INFO ] 🔍 Neighbors found: ['node_3', 'node_5'] | Degree: 2
[ 2025-12-15 15:06:01 | node_4 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 15:06:01 | node_8 | INFO ] 🔍 Neighbors found: ['node_7', 'node_9'] | Degree: 2
[ 2025-12-15 15:06:01 | node_8 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 15:06:01 | node_1 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 15:06:01 | node_1 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 15:06:01 | node_9 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 15:06:01 | node_9 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 15:06:02 | node_7 | INFO ] 🔍 Neighbors found: ['node_6', 'node_8'] | Degree: 2
[ 2025-12-15 15:06:02 | node_5 | INFO ] 🔍 Neighbors found: ['node_4', 'node_6'] | Degree: 2
[ 2025-12-15 15:06:02 | node_7 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 15:06:02 | node_5 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 15:06:02 | node_2 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 15:06:02 | node_2 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 15:06:02 | node_8 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 15:06:02 | node_8 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 15:06:02 | node | INFO ] 🤫 Gossip finished.
[ 2025-12-15 15:06:03 | node_6 | INFO ] 🔍 Neighbors found: ['node_5', 'node_7'] | Degree: 2
[ 2025-12-15 15:06:03 | node_6 | INFO ] ⏳ Waiting initialization.
[ 2025-12-15 15:06:03 | node_1 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 15:06:03 | node_9 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 15:06:03 | node_3 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 15:06:03 | node_7 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 15:06:03 | node_3 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 15:06:03 | node_7 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 15:06:04 | node_1 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 15:06:04 | node_9 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 15:06:04 | node | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 15:06:04 | node_4 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 15:06:04 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 15:06:04 | node_8 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 15:06:04 | node_6 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 15:06:04 | node_4 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 15:06:04 | node_6 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 15:06:05 | node_2 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 15:06:05 | node_8 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 15:06:05 | node_3 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 15:06:05 | node_7 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 15:06:05 | node_3 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 15:06:05 | node_5 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-15 15:06:05 | node_5 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-15 15:06:06 | node_7 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 15:06:06 | node_6 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 15:06:06 | node_5 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 15:06:06 | node_4 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 15:06:06 | node_5 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 15:06:06 | node_4 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 15:06:07 | node_6 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 15:06:07 | node_5 | INFO ] 🔢 Computed 10 votes.
[ 2025-12-15 15:06:07 | node_5 | INFO ] 🚂 Train set of 10 nodes: ['node_2', 'node_5', 'node_3', 'node_1', 'node_8', 'node_4', 'node_7', 'node_9', 'node_6', 'node']
[ 2025-12-15 15:06:07 | node_5 | INFO ] 🔬 Evaluating...
[ 2025-12-15 15:06:07 | node_6 | INFO ] 🔢 Computed 10 votes.
[ 2025-12-15 15:06:07 | node_6 | INFO ] 🚂 Train set of 10 nodes: ['node_2', 'node_5', 'node_3', 'node_1', 'node_8', 'node_4', 'node_7', 'node_9', 'node_6', 'node']
[ 2025-12-15 15:06:07 | node_6 | INFO ] 🔬 Evaluating...
[ 2025-12-15 15:06:07 | node_4 | INFO ] 🔢 Computed 10 votes.
[ 2025-12-15 15:06:07 | node_4 | INFO ] 🚂 Train set of 10 nodes: ['node_2', 'node_5', 'node_3', 'node_1', 'node_8', 'node_4', 'node_7', 'node_9', 'node_6', 'node']
[ 2025-12-15 15:06:07 | node_4 | INFO ] 🔬 Evaluating...
[ 2025-12-15 15:06:07 | node_7 | INFO ] 🔢 Computed 10 votes.
[ 2025-12-15 15:06:07 | node_7 | INFO ] 🚂 Train set of 10 nodes: ['node_2', 'node_5', 'node_3', 'node_1', 'node_8', 'node_4', 'node_7', 'node_9', 'node_6', 'node']
[ 2025-12-15 15:06:07 | node_7 | INFO ] 🔬 Evaluating...
[ 2025-12-15 15:06:07 | node_3 | INFO ] 🔢 Computed 10 votes.
[ 2025-12-15 15:06:07 | node_3 | INFO ] 🚂 Train set of 10 nodes: ['node_2', 'node_5', 'node_3', 'node_1', 'node_8', 'node_4', 'node_7', 'node_9', 'node_6', 'node']
[ 2025-12-15 15:06:07 | node_3 | INFO ] 🔬 Evaluating...
[ 2025-12-15 15:06:07 | node_2 | INFO ] 🔢 Computed 10 votes.
