[ 2025-12-16 06:49:25 | node_1 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 06:49:25 | node_1 | INFO ] 🎉 Round 61 of 100 finished.
[ 2025-12-16 06:49:25 | node_1 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 06:49:26 | node_4 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:26 | node_4 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_46', 'node_47', 'node_3', 'node_48', 'node_5', 'node', 'node_4', 'node_2', 'node_6', 'node_49']
[ 2025-12-16 06:49:26 | node_4 | INFO ] 🧩 Model added (1/3) from ['node_3']
[ 2025-12-16 06:49:26 | node_4 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:27 | node_4 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.42797377705574036, 'test_acc\n': 0.9850000143051147, 'test_precision\n': 0.9876666069030762, 'test_recall\n': 0.986799955368042, 'test_f1\n': 0.9867035150527954}
[ 2025-12-16 06:49:27 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:27 | node_4 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:27 | node_48 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:27 | node_48 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_46', 'node_47', 'node_3', 'node_48', 'node_5', 'node', 'node_4', 'node_2', 'node_6', 'node_49']
[ 2025-12-16 06:49:27 | node_48 | INFO ] 🧩 Model added (1/3) from ['node_49']
[ 2025-12-16 06:49:27 | node_48 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:27 | node_4 | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:27 | node_4 | INFO ] 🧩 Model added (2/3) from ['node_4']
[ 2025-12-16 06:49:27 | node_47 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:27 | node_47 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_46', 'node_47', 'node_3', 'node_48', 'node_5', 'node', 'node_4', 'node_2', 'node_6', 'node_49']
[ 2025-12-16 06:49:27 | node_47 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:27 | node_5 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:27 | node_48 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6040128469467163, 'test_acc\n': 0.9449999928474426, 'test_precision\n': 0.9422705769538879, 'test_recall\n': 0.9466779232025146, 'test_f1\n': 0.9407190680503845}
[ 2025-12-16 06:49:27 | node_5 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_46', 'node_47', 'node_3', 'node_48', 'node_5', 'node', 'node_4', 'node_2', 'node_6', 'node_49']
[ 2025-12-16 06:49:27 | node_48 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:27 | node_5 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:27 | node_48 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:27 | node_47 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.2140684127807617, 'test_acc\n': 0.949999988079071, 'test_precision\n': 0.9470435976982117, 'test_recall\n': 0.9550906419754028, 'test_f1\n': 0.9471844434738159}
[ 2025-12-16 06:49:27 | node_47 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:27 | node_47 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:27 | node_48 | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:27 | node_48 | INFO ] 🧩 Model added (2/3) from ['node_48']
[ 2025-12-16 06:49:27 | node_46 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:27 | node_46 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_46', 'node_47', 'node_3', 'node_48', 'node_5', 'node', 'node_4', 'node_2', 'node_6', 'node_49']
[ 2025-12-16 06:49:27 | node_46 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:27 | node_5 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.44755664467811584, 'test_acc\n': 0.9700000286102295, 'test_precision\n': 0.9735238552093506, 'test_recall\n': 0.9716594219207764, 'test_f1\n': 0.970930814743042}
[ 2025-12-16 06:49:27 | node_5 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:27 | node_5 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:28 | node_47 | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:28 | node_47 | INFO ] 🧩 Model added (1/3) from ['node_47']
[ 2025-12-16 06:49:28 | node_5 | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:28 | node_46 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.8829424977302551, 'test_acc\n': 0.9350000023841858, 'test_precision\n': 0.9450361728668213, 'test_recall\n': 0.9329524040222168, 'test_f1\n': 0.9340046644210815}
[ 2025-12-16 06:49:28 | node_5 | INFO ] 🧩 Model added (1/3) from ['node_5']
[ 2025-12-16 06:49:28 | node_46 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:29 | node_46 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:29 | node_6 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:29 | node_6 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_46', 'node_47', 'node_3', 'node_48', 'node_5', 'node', 'node_4', 'node_2', 'node_6', 'node_49']
[ 2025-12-16 06:49:29 | node_6 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:29 | node_46 | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:29 | node_46 | INFO ] 🧩 Model added (1/2) from ['node_46']
[ 2025-12-16 06:49:29 | node_6 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.7867190837860107, 'test_acc\n': 0.9649999737739563, 'test_precision\n': 0.9716392755508423, 'test_recall\n': 0.9654794335365295, 'test_f1\n': 0.9662455916404724}
[ 2025-12-16 06:49:29 | node_6 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:29 | node_6 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:29 | node_6 | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:29 | node_6 | INFO ] 🧩 Model added (1/2) from ['node_6']
[ 2025-12-16 06:49:32 | node_4 | INFO ] 📤 Sending model to 2 direct neighbors: ['node_3', 'node_5']
[ 2025-12-16 06:49:32 | node_3 | INFO ] 🧩 Model added (3/3) from ['node_4']
[ 2025-12-16 06:49:32 | node_3 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 06:49:32 | node_3 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 06:49:32 | node_5 | INFO ] 🧩 Model added (2/3) from ['node_4']
[ 2025-12-16 06:49:32 | node_48 | INFO ] 📤 Sending model to 2 direct neighbors: ['node_47', 'node_49']
[ 2025-12-16 06:49:32 | node_47 | INFO ] 🧩 Model added (2/3) from ['node_48']
[ 2025-12-16 06:49:32 | node_49 | INFO ] 🧩 Model added (3/3) from ['node_48']
[ 2025-12-16 06:49:32 | node_49 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 06:49:32 | node_49 | INFO ] 🗣️ Gossiping aggregated model.
