[ 2025-12-18 15:46:21 | ActorPool | INFO ] Ray detected 1.0 GPU(s), allocating 0.25 GPU per actor
[ 2025-12-18 15:46:21 | ActorPool | INFO ] Initialized with 4 actors, 0.25 GPU per actor
[ 2025-12-18 15:46:21 | node | INFO ] InMemoryServer started at node
[ 2025-12-18 15:46:21 | node | INFO ] 🏁 Starting gossiper...
[ 2025-12-18 15:46:21 | node_1 | INFO ] InMemoryServer started at node_1
[ 2025-12-18 15:46:21 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2025-12-18 15:46:21 | node_2 | INFO ] InMemoryServer started at node_2
[ 2025-12-18 15:46:21 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2025-12-18 15:46:21 | node_3 | INFO ] InMemoryServer started at node_3
[ 2025-12-18 15:46:21 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2025-12-18 15:46:21 | node_4 | INFO ] InMemoryServer started at node_4
[ 2025-12-18 15:46:21 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2025-12-18 15:46:21 |  | INFO ] Connected nodes node and node_1
[ 2025-12-18 15:46:21 |  | INFO ] Connected nodes node and node_4
[ 2025-12-18 15:46:21 |  | INFO ] Connected nodes node_1 and node_2
[ 2025-12-18 15:46:21 |  | INFO ] Connected nodes node_2 and node_3
[ 2025-12-18 15:46:21 |  | INFO ] Connected nodes node_3 and node_4
[ 2025-12-18 15:46:21 | node | INFO ] 🚀 Broadcasting start learning...
[ 2025-12-18 15:46:21 | node_1 | INFO ] 🔍 Neighbors found: ['node', 'node_2'] | Degree: 2
[ 2025-12-18 15:46:21 | node_4 | INFO ] 🔍 Neighbors found: ['node', 'node_3'] | Degree: 2
[ 2025-12-18 15:46:21 | node_1 | INFO ] ⏳ Waiting initialization.
[ 2025-12-18 15:46:21 | node_4 | INFO ] ⏳ Waiting initialization.
[ 2025-12-18 15:46:21 | node | INFO ] 🔍 Neighbors found: ['node_1', 'node_4'] | Degree: 2
[ 2025-12-18 15:46:21 | node | INFO ] ⏳ Waiting initialization.
[ 2025-12-18 15:46:21 | node | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-18 15:46:22 | node_2 | INFO ] 🔍 Neighbors found: ['node_1', 'node_3'] | Degree: 2
[ 2025-12-18 15:46:22 | node_2 | INFO ] ⏳ Waiting initialization.
[ 2025-12-18 15:46:22 | node_3 | INFO ] 🔍 Neighbors found: ['node_2', 'node_4'] | Degree: 2
[ 2025-12-18 15:46:22 | node_3 | INFO ] ⏳ Waiting initialization.
[ 2025-12-18 15:46:22 | node_1 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-18 15:46:22 | node_1 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-18 15:46:22 | node_4 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-18 15:46:22 | node_4 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-18 15:46:23 | node_2 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-18 15:46:23 | node_3 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-18 15:46:23 | node_2 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-18 15:46:23 | node_3 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-18 15:46:23 | node | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:46:24 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:46:24 | node_3 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:46:24 | node_4 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:46:24 | node_1 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:46:25 | node_1 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:46:25 | node_4 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:46:25 | node | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:46:26 | node_2 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:46:26 | node_3 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:46:26 | node_2 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:46:26 | node_2 | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_2', 'node_3', 'node_4', 'node']
[ 2025-12-18 15:46:26 | node_2 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:46:26 | node_4 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:46:26 | node_4 | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_2', 'node_3', 'node_4', 'node']
[ 2025-12-18 15:46:26 | node_3 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:46:26 | node_3 | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_2', 'node_3', 'node_4', 'node']
[ 2025-12-18 15:46:26 | node_4 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:46:26 | node_1 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:46:26 | node_3 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:46:26 | node_1 | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_2', 'node_3', 'node_4', 'node']
[ 2025-12-18 15:46:26 | node_1 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:46:26 | node | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:46:26 | node | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_2', 'node_3', 'node_4', 'node']
[ 2025-12-18 15:46:26 | node | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:46:35 | node_3 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 10.81798267364502, 'test_acc\n': 0.10000000149011612, 'test_precision\n': 0.070111945271492, 'test_recall\n': 0.09981993585824966, 'test_f1\n': 0.06497693061828613}
[ 2025-12-18 15:46:35 | node_4 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 11.427050590515137, 'test_acc\n': 0.09200000017881393, 'test_precision\n': 0.07580051571130753, 'test_recall\n': 0.10127585381269455, 'test_f1\n': 0.0618489608168602}
[ 2025-12-18 15:46:35 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:46:35 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:46:35 | node_3 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:46:35 | node_4 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:46:36 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 10.748902320861816, 'test_acc\n': 0.1014999970793724, 'test_precision\n': 0.05974423512816429, 'test_recall\n': 0.09767891466617584, 'test_f1\n': 0.06255429238080978}
[ 2025-12-18 15:46:36 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:46:36 | node_2 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:46:37 | node | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 10.945246696472168, 'test_acc\n': 0.10899999737739563, 'test_precision\n': 0.08067207038402557, 'test_recall\n': 0.10772919654846191, 'test_f1\n': 0.07350347936153412}
[ 2025-12-18 15:46:37 | node | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:46:37 | node | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:46:37 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 10.959304809570312, 'test_acc\n': 0.10350000113248825, 'test_precision\n': 0.06274610012769699, 'test_recall\n': 0.09916644543409348, 'test_f1\n': 0.06535500288009644}
[ 2025-12-18 15:46:37 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:46:37 | node_1 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:46:38 | node_4 | INFO ] 🎓 Training done.
[ 2025-12-18 15:46:38 | node_4 | INFO ] 🧩 Model added (1/3) from ['node_4']
[ 2025-12-18 15:46:38 | node_2 | INFO ] 🎓 Training done.
[ 2025-12-18 15:46:38 | node_2 | INFO ] 🧩 Model added (1/3) from ['node_2']
[ 2025-12-18 15:46:38 | node_3 | INFO ] 🎓 Training done.
[ 2025-12-18 15:46:38 | node_3 | INFO ] 🧩 Model added (1/3) from ['node_3']
[ 2025-12-18 15:46:39 | node | INFO ] 🎓 Training done.
[ 2025-12-18 15:46:39 | node | INFO ] 🧩 Model added (1/3) from ['node']
[ 2025-12-18 15:46:39 | node_1 | INFO ] 🎓 Training done.
[ 2025-12-18 15:46:39 | node_1 | INFO ] 🧩 Model added (1/3) from ['node_1']
[ 2025-12-18 15:46:43 | node_4 | INFO ] 📤 Sending model to 2 direct neighbors: ['node', 'node_3']
[ 2025-12-18 15:46:43 | node | INFO ] 🧩 Model added (2/3) from ['node_4']
[ 2025-12-18 15:46:43 | node_3 | INFO ] 🧩 Model added (2/3) from ['node_4']
[ 2025-12-18 15:46:43 | node_2 | INFO ] 📤 Sending model to 2 direct neighbors: ['node_1', 'node_3']
[ 2025-12-18 15:46:43 | node_3 | INFO ] 📤 Sending model to 2 direct neighbors: ['node_2', 'node_4']
[ 2025-12-18 15:46:44 | node_1 | INFO ] 🧩 Model added (2/3) from ['node_2']
[ 2025-12-18 15:46:44 | node_2 | INFO ] 🧩 Model added (2/3) from ['node_3']
[ 2025-12-18 15:46:44 | node_3 | INFO ] 🧩 Model added (3/3) from ['node_2']
[ 2025-12-18 15:46:44 | node_4 | INFO ] 🧩 Model added (2/3) from ['node_3']
[ 2025-12-18 15:46:44 | node_3 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 15:46:44 | node_3 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 15:46:44 | node | INFO ] 📤 Sending model to 2 direct neighbors: ['node_1', 'node_4']
[ 2025-12-18 15:46:44 | node_1 | INFO ] 🧩 Model added (3/3) from ['node']
[ 2025-12-18 15:46:44 | node_4 | INFO ] 🧩 Model added (3/3) from ['node']
[ 2025-12-18 15:46:44 | node_4 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 15:46:44 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 15:46:44 | node_1 | INFO ] 📤 Sending model to 2 direct neighbors: ['node', 'node_2']
[ 2025-12-18 15:46:44 | node | INFO ] 🧩 Model added (3/3) from ['node_1']
[ 2025-12-18 15:46:44 | node | INFO ] 🧠 Aggregating models.
[ 2025-12-18 15:46:44 | node_2 | INFO ] 🧩 Model added (3/3) from ['node_1']
[ 2025-12-18 15:46:44 | node_2 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 15:46:44 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 15:46:44 | node_1 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 15:46:44 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 15:46:44 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 15:46:44 | node_1 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:46:44 | node_1 | INFO ] 🎉 Round 1 of 10 finished.
[ 2025-12-18 15:46:44 | node_1 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:46:45 | node_3 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:46:45 | node_3 | INFO ] 🎉 Round 1 of 10 finished.
[ 2025-12-18 15:46:45 | node_3 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:46:45 | node_4 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:46:45 | node_4 | INFO ] 🎉 Round 1 of 10 finished.
[ 2025-12-18 15:46:45 | node_4 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:46:45 | node | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:46:45 | node | INFO ] 🎉 Round 1 of 10 finished.
[ 2025-12-18 15:46:45 | node | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:46:45 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:46:45 | node_2 | INFO ] 🎉 Round 1 of 10 finished.
[ 2025-12-18 15:46:45 | node_2 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:46:46 | node_3 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:46:46 | node_3 | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_4', 'node_2', 'node_3', 'node']
[ 2025-12-18 15:46:46 | node_3 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:46:46 | node_1 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:46:46 | node_1 | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_4', 'node_2', 'node_3', 'node']
[ 2025-12-18 15:46:46 | node_1 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:46:46 | node | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:46:46 | node | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_4', 'node_2', 'node_3', 'node']
[ 2025-12-18 15:46:46 | node_2 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:46:46 | node | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:46:46 | node_2 | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_4', 'node_2', 'node_3', 'node']
[ 2025-12-18 15:46:46 | node_2 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:46:46 | node_4 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:46:46 | node_4 | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_4', 'node_2', 'node_3', 'node']
