[ 2025-12-16 16:49:49 | node_4 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 16:49:49 | node_3 | INFO ] 🎉 Round 93 of 100 finished.
[ 2025-12-16 16:49:49 | node_3 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 16:49:49 | node_5 | INFO ] 🎉 Round 93 of 100 finished.
[ 2025-12-16 16:49:49 | node_5 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 16:49:49 | node_2 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 16:49:49 | node_2 | INFO ] 🚂 Train set of 11 nodes: ['node_49', 'node_46', 'node_2', 'node_6', 'node_1', 'node_47', 'node_5', 'node_4', 'node_3', 'node_48', 'node']
[ 2025-12-16 16:49:49 | node_2 | INFO ] 🔬 Evaluating...
[ 2025-12-16 16:49:49 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.8783146739006042, 'test_acc\n': 0.9549999833106995, 'test_precision\n': 0.9595190286636353, 'test_recall\n': 0.9641320705413818, 'test_f1\n': 0.9597663879394531}
[ 2025-12-16 16:49:49 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 16:49:50 | node_2 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 16:49:50 | node_2 | INFO ] 🎓 Training done.
[ 2025-12-16 16:49:50 | node_2 | INFO ] 🧩 Model added (1/9) from ['node_2']
[ 2025-12-16 16:49:53 | node_3 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 16:49:53 | node_3 | INFO ] 🚂 Train set of 11 nodes: ['node_49', 'node_46', 'node_2', 'node_6', 'node_1', 'node_47', 'node_5', 'node_4', 'node_3', 'node_48', 'node']
[ 2025-12-16 16:49:53 | node_4 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 16:49:53 | node_3 | INFO ] 🔬 Evaluating...
[ 2025-12-16 16:49:53 | node_4 | INFO ] 🚂 Train set of 11 nodes: ['node_49', 'node_46', 'node_2', 'node_6', 'node_1', 'node_47', 'node_5', 'node_4', 'node_3', 'node_48', 'node']
[ 2025-12-16 16:49:53 | node_4 | INFO ] 🔬 Evaluating...
[ 2025-12-16 16:49:53 | node_3 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 2.7451677322387695, 'test_acc\n': 0.9399999976158142, 'test_precision\n': 0.940663754940033, 'test_recall\n': 0.9420106410980225, 'test_f1\n': 0.938046395778656}
[ 2025-12-16 16:49:54 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 16:49:54 | node_4 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 2.0507771968841553, 'test_acc\n': 0.9599999785423279, 'test_precision\n': 0.9645616412162781, 'test_recall\n': 0.9683322310447693, 'test_f1\n': 0.9647316932678223}
[ 2025-12-16 16:49:54 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 16:49:54 | node_4 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 16:49:54 | node_3 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 16:49:54 | node_4 | INFO ] 🎓 Training done.
[ 2025-12-16 16:49:54 | node_4 | INFO ] 🧩 Model added (1/7) from ['node_4']
[ 2025-12-16 16:49:54 | node_3 | INFO ] 🎓 Training done.
[ 2025-12-16 16:49:54 | node_3 | INFO ] 🧩 Model added (1/8) from ['node_3']
[ 2025-12-16 16:49:55 | node_2 | INFO ] 📤 Sending model to 8 direct neighbors: ['node', 'node_1', 'node_3', 'node_4', 'node_5', 'node_6', 'node_48', 'node_49']
[ 2025-12-16 16:49:55 | node_3 | INFO ] 🧩 Model added (2/8) from ['node_2']
[ 2025-12-16 16:49:55 | node_4 | INFO ] 🧩 Model added (2/7) from ['node_2']
[ 2025-12-16 16:49:59 | node_4 | INFO ] 📤 Sending model to 6 direct neighbors: ['node', 'node_1', 'node_2', 'node_3', 'node_5', 'node_6']
[ 2025-12-16 16:49:59 | node_3 | INFO ] 📤 Sending model to 7 direct neighbors: ['node', 'node_1', 'node_2', 'node_4', 'node_5', 'node_6', 'node_49']
[ 2025-12-16 16:49:59 | node_2 | INFO ] 🧩 Model added (2/9) from ['node_4']
[ 2025-12-16 16:49:59 | node_2 | INFO ] 🧩 Model added (3/9) from ['node_3']
[ 2025-12-16 16:49:59 | node_3 | INFO ] 🧩 Model added (3/8) from ['node_4']
[ 2025-12-16 16:49:59 | node_4 | INFO ] 🧩 Model added (3/7) from ['node_3']
[ 2025-12-16 16:50:00 | node_5 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 16:50:00 | node_5 | INFO ] 🚂 Train set of 11 nodes: ['node_49', 'node_46', 'node_2', 'node_6', 'node_1', 'node_47', 'node_5', 'node_4', 'node_3', 'node_48', 'node']
[ 2025-12-16 16:50:00 | node_5 | INFO ] 🧩 Model added (1/6) from ['node_2']
[ 2025-12-16 16:50:00 | node_5 | INFO ] 🧩 Model added (2/6) from ['node_4']
[ 2025-12-16 16:50:00 | node_5 | INFO ] 🧩 Model added (3/6) from ['node_3']
[ 2025-12-16 16:50:00 | node_5 | INFO ] 🔬 Evaluating...
[ 2025-12-16 16:50:00 | node_1 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 16:50:00 | node_1 | INFO ] 🚂 Train set of 11 nodes: ['node_49', 'node_46', 'node_2', 'node_6', 'node_1', 'node_47', 'node_5', 'node_4', 'node_3', 'node_48', 'node']
[ 2025-12-16 16:50:00 | node_1 | INFO ] 🧩 Model added (1/9) from ['node_2']
[ 2025-12-16 16:50:00 | node_1 | INFO ] 🧩 Model added (2/9) from ['node_4']
[ 2025-12-16 16:50:00 | node_1 | INFO ] 🧩 Model added (3/9) from ['node_3']
[ 2025-12-16 16:50:00 | node_1 | INFO ] 🔬 Evaluating...
[ 2025-12-16 16:50:00 | node_5 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.24444255232810974, 'test_acc\n': 0.9850000143051147, 'test_precision\n': 0.9842284917831421, 'test_recall\n': 0.9855844378471375, 'test_f1\n': 0.9841831922531128}
[ 2025-12-16 16:50:00 | node_5 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 16:50:00 | node_5 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 16:50:00 | node | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 16:50:00 | node | INFO ] 🚂 Train set of 11 nodes: ['node_49', 'node_46', 'node_2', 'node_6', 'node_1', 'node_47', 'node_5', 'node_4', 'node_3', 'node_48', 'node']
[ 2025-12-16 16:50:00 | node | INFO ] 🧩 Model added (1/9) from ['node_2']
[ 2025-12-16 16:50:00 | node | INFO ] 🧩 Model added (2/9) from ['node_4']
[ 2025-12-16 16:50:00 | node | INFO ] 🧩 Model added (3/9) from ['node_3']
[ 2025-12-16 16:50:00 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.0018563270568848, 'test_acc\n': 0.949999988079071, 'test_precision\n': 0.9459334015846252, 'test_recall\n': 0.9488587379455566, 'test_f1\n': 0.9452412128448486}
[ 2025-12-16 16:50:00 | node | INFO ] 🔬 Evaluating...
[ 2025-12-16 16:50:00 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 16:50:00 | node_48 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 16:50:00 | node_48 | INFO ] 🚂 Train set of 11 nodes: ['node_49', 'node_46', 'node_2', 'node_6', 'node_1', 'node_47', 'node_5', 'node_4', 'node_3', 'node_48', 'node']
[ 2025-12-16 16:50:00 | node_49 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 16:50:00 | node_49 | INFO ] 🚂 Train set of 11 nodes: ['node_49', 'node_46', 'node_2', 'node_6', 'node_1', 'node_47', 'node_5', 'node_4', 'node_3', 'node_48', 'node']
