[ 2025-12-15 16:08:25 | node_4 | INFO ] 🧩 Model added (1/7) from ['node_4']
[ 2025-12-15 16:08:25 | node_3 | INFO ] 🎓 Training done.
[ 2025-12-15 16:08:25 | node_3 | INFO ] 🧩 Model added (1/8) from ['node_3']
[ 2025-12-15 16:08:25 | node_47 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.36389073729515076, 'test_acc\n': 0.9599999785423279, 'test_precision\n': 0.9656615257263184, 'test_recall\n': 0.9595178365707397, 'test_f1\n': 0.9591531157493591}
[ 2025-12-15 16:08:25 | node_47 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-15 16:08:25 | node_47 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-15 16:08:25 | node | INFO ] 🎓 Training done.
[ 2025-12-15 16:08:25 | node | INFO ] 🧩 Model added (1/9) from ['node']
[ 2025-12-15 16:08:25 | node_5 | INFO ] 🎓 Training done.
[ 2025-12-15 16:08:25 | node_5 | INFO ] 🧩 Model added (1/6) from ['node_5']
[ 2025-12-15 16:08:26 | node_6 | INFO ] 🎓 Training done.
[ 2025-12-15 16:08:26 | node_6 | INFO ] 🧩 Model added (1/5) from ['node_6']
[ 2025-12-15 16:08:26 | node_49 | INFO ] 🎓 Training done.
[ 2025-12-15 16:08:26 | node_46 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6448067426681519, 'test_acc\n': 0.9599999785423279, 'test_precision\n': 0.9650610089302063, 'test_recall\n': 0.9670315384864807, 'test_f1\n': 0.9624451994895935}
[ 2025-12-15 16:08:26 | node_49 | INFO ] 🧩 Model added (1/8) from ['node_49']
[ 2025-12-15 16:08:26 | node_46 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-15 16:08:26 | node_48 | INFO ] 🎓 Training done.
[ 2025-12-15 16:08:26 | node_48 | INFO ] 🧩 Model added (1/7) from ['node_48']
[ 2025-12-15 16:08:26 | node_46 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-15 16:08:26 | node_47 | INFO ] 🎓 Training done.
[ 2025-12-15 16:08:26 | node_47 | INFO ] 🧩 Model added (1/6) from ['node_47']
[ 2025-12-15 16:08:26 | node_46 | INFO ] 🎓 Training done.
[ 2025-12-15 16:08:26 | node_46 | INFO ] 🧩 Model added (1/5) from ['node_46']
[ 2025-12-15 16:08:27 | node_2 | INFO ] 📤 Sending model to 8 direct neighbors: ['node', 'node_1', 'node_3', 'node_4', 'node_5', 'node_6', 'node_48', 'node_49']
[ 2025-12-15 16:08:27 | node | INFO ] 🧩 Model added (2/9) from ['node_2']
[ 2025-12-15 16:08:27 | node_1 | INFO ] 🧩 Model added (2/9) from ['node_2']
[ 2025-12-15 16:08:27 | node_3 | INFO ] 🧩 Model added (2/8) from ['node_2']
[ 2025-12-15 16:08:27 | node_4 | INFO ] 🧩 Model added (2/7) from ['node_2']
[ 2025-12-15 16:08:27 | node_5 | INFO ] 🧩 Model added (2/6) from ['node_2']
[ 2025-12-15 16:08:27 | node_6 | INFO ] 🧩 Model added (2/5) from ['node_2']
[ 2025-12-15 16:08:27 | node_48 | INFO ] 🧩 Model added (2/7) from ['node_2']
[ 2025-12-15 16:08:27 | node_49 | INFO ] 🧩 Model added (2/8) from ['node_2']
[ 2025-12-15 16:08:30 | node_1 | INFO ] 📤 Sending model to 8 direct neighbors: ['node', 'node_2', 'node_3', 'node_4', 'node_5', 'node_47', 'node_48', 'node_49']
[ 2025-12-15 16:08:30 | node_4 | INFO ] 📤 Sending model to 6 direct neighbors: ['node', 'node_1', 'node_2', 'node_3', 'node_5', 'node_6']
[ 2025-12-15 16:08:30 | node | INFO ] 🧩 Model added (3/9) from ['node_4']
[ 2025-12-15 16:08:30 | node | INFO ] 🧩 Model added (4/9) from ['node_1']
[ 2025-12-15 16:08:30 | node_2 | INFO ] 🧩 Model added (2/9) from ['node_1']
[ 2025-12-15 16:08:30 | node_1 | INFO ] 🧩 Model added (3/9) from ['node_4']
[ 2025-12-15 16:08:30 | node_2 | INFO ] 🧩 Model added (3/9) from ['node_4']
[ 2025-12-15 16:08:30 | node_3 | INFO ] 📤 Sending model to 7 direct neighbors: ['node', 'node_1', 'node_2', 'node_4', 'node_5', 'node_6', 'node_49']
[ 2025-12-15 16:08:30 | node_3 | INFO ] 🧩 Model added (3/8) from ['node_1']
[ 2025-12-15 16:08:30 | node | INFO ] 🧩 Model added (5/9) from ['node_3']
[ 2025-12-15 16:08:30 | node_3 | INFO ] 🧩 Model added (4/8) from ['node_4']
