[ 2025-12-18 15:34:03 | ActorPool | INFO ] Ray detected 1.0 GPU(s), allocating 0.25 GPU per actor
[ 2025-12-18 15:34:03 | ActorPool | INFO ] Initialized with 4 actors, 0.25 GPU per actor
[ 2025-12-18 15:34:03 | node | INFO ] InMemoryServer started at node
[ 2025-12-18 15:34:03 | node | INFO ] 🏁 Starting gossiper...
[ 2025-12-18 15:34:03 | node_1 | INFO ] InMemoryServer started at node_1
[ 2025-12-18 15:34:03 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2025-12-18 15:34:03 | node_2 | INFO ] InMemoryServer started at node_2
[ 2025-12-18 15:34:03 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2025-12-18 15:34:03 | node_3 | INFO ] InMemoryServer started at node_3
[ 2025-12-18 15:34:03 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2025-12-18 15:34:03 | node_4 | INFO ] InMemoryServer started at node_4
[ 2025-12-18 15:34:03 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2025-12-18 15:34:03 |  | INFO ] Connected nodes node and node_1
[ 2025-12-18 15:34:04 |  | INFO ] Connected nodes node and node_4
[ 2025-12-18 15:34:04 |  | INFO ] Connected nodes node_1 and node_2
[ 2025-12-18 15:34:04 |  | INFO ] Connected nodes node_2 and node_3
[ 2025-12-18 15:34:04 |  | INFO ] Connected nodes node_3 and node_4
[ 2025-12-18 15:34:04 | node | INFO ] 🚀 Broadcasting start learning...
[ 2025-12-18 15:34:04 | node_1 | INFO ] 🔍 Neighbors found: ['node', 'node_2'] | Degree: 2
[ 2025-12-18 15:34:04 | node_4 | INFO ] 🔍 Neighbors found: ['node', 'node_3'] | Degree: 2
[ 2025-12-18 15:34:04 | node_1 | INFO ] ⏳ Waiting initialization.
[ 2025-12-18 15:34:04 | node_4 | INFO ] ⏳ Waiting initialization.
[ 2025-12-18 15:34:04 | node | INFO ] 🔍 Neighbors found: ['node_1', 'node_4'] | Degree: 2
[ 2025-12-18 15:34:04 | node | INFO ] ⏳ Waiting initialization.
[ 2025-12-18 15:34:04 | node | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-18 15:34:04 | node_2 | INFO ] 🔍 Neighbors found: ['node_1', 'node_3'] | Degree: 2
[ 2025-12-18 15:34:04 | node_2 | INFO ] ⏳ Waiting initialization.
[ 2025-12-18 15:34:04 | node_3 | INFO ] 🔍 Neighbors found: ['node_2', 'node_4'] | Degree: 2
[ 2025-12-18 15:34:04 | node_3 | INFO ] ⏳ Waiting initialization.
[ 2025-12-18 15:34:05 | node_1 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-18 15:34:05 | node_1 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-18 15:34:05 | node_4 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-18 15:34:05 | node_4 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-18 15:34:06 | node_2 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-18 15:34:06 | node_2 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-18 15:34:06 | node_3 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-18 15:34:06 | node_3 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-18 15:34:06 | node | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:34:07 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:34:07 | node_3 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:34:07 | node_1 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:34:07 | node_4 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:34:08 | node_1 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:34:08 | node_4 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:34:08 | node | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:34:08 | node_2 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:34:08 | node_3 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:34:09 | node_1 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:34:09 | node_1 | INFO ] 🚂 Train set of 5 nodes: ['node_2', 'node_4', 'node', 'node_3', 'node_1']
[ 2025-12-18 15:34:09 | node_1 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:34:09 | node_2 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:34:09 | node_2 | INFO ] 🚂 Train set of 5 nodes: ['node_2', 'node_4', 'node', 'node_3', 'node_1']
[ 2025-12-18 15:34:09 | node | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:34:09 | node_2 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:34:09 | node | INFO ] 🚂 Train set of 5 nodes: ['node_2', 'node_4', 'node', 'node_3', 'node_1']
[ 2025-12-18 15:34:09 | node | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:34:09 | node_4 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:34:09 | node_3 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:34:09 | node_4 | INFO ] 🚂 Train set of 5 nodes: ['node_2', 'node_4', 'node', 'node_3', 'node_1']
[ 2025-12-18 15:34:09 | node_3 | INFO ] 🚂 Train set of 5 nodes: ['node_2', 'node_4', 'node', 'node_3', 'node_1']
[ 2025-12-18 15:34:09 | node_4 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:34:09 | node_3 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:34:17 | node | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 14.449026107788086, 'test_acc\n': 0.13750000298023224, 'test_precision\n': 0.04114937409758568, 'test_recall\n': 0.12120556831359863, 'test_f1\n': 0.05315490439534187}
[ 2025-12-18 15:34:17 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 15.031564712524414, 'test_acc\n': 0.11800000071525574, 'test_precision\n': 0.03795643895864487, 'test_recall\n': 0.11304464936256409, 'test_f1\n': 0.045947011560201645}
[ 2025-12-18 15:34:17 | node | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:34:17 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:34:17 | node | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:34:17 | node_2 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:34:17 | node_3 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 14.874457359313965, 'test_acc\n': 0.12399999797344208, 'test_precision\n': 0.043299127370119095, 'test_recall\n': 0.11744441092014313, 'test_f1\n': 0.049035970121622086}
[ 2025-12-18 15:34:17 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:34:17 | node_3 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:34:18 | node_4 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 14.806714057922363, 'test_acc\n': 0.13249999284744263, 'test_precision\n': 0.04219396412372589, 'test_recall\n': 0.12169668078422546, 'test_f1\n': 0.05304252356290817}
[ 2025-12-18 15:34:18 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 14.809272766113281, 'test_acc\n': 0.125, 'test_precision\n': 0.054822634905576706, 'test_recall\n': 0.11904750764369965, 'test_f1\n': 0.05290495976805687}
[ 2025-12-18 15:34:18 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:34:18 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:34:18 | node_4 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:34:18 | node_1 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:34:19 | node | INFO ] 🎓 Training done.
[ 2025-12-18 15:34:19 | node | INFO ] 🧩 Model added (1/3) from ['node']
[ 2025-12-18 15:34:19 | node_2 | INFO ] 🎓 Training done.
[ 2025-12-18 15:34:19 | node_2 | INFO ] 🧩 Model added (1/3) from ['node_2']
[ 2025-12-18 15:34:20 | node_3 | INFO ] 🎓 Training done.
[ 2025-12-18 15:34:20 | node_3 | INFO ] 🧩 Model added (1/3) from ['node_3']
[ 2025-12-18 15:34:20 | node_4 | INFO ] 🎓 Training done.
[ 2025-12-18 15:34:20 | node_4 | INFO ] 🧩 Model added (1/3) from ['node_4']
[ 2025-12-18 15:34:21 | node_1 | INFO ] 🎓 Training done.
[ 2025-12-18 15:34:21 | node_1 | INFO ] 🧩 Model added (1/3) from ['node_1']
[ 2025-12-18 15:34:24 | node | INFO ] 📤 Sending model to 2 direct neighbors: ['node_1', 'node_4']
[ 2025-12-18 15:34:24 | node_1 | INFO ] 🧩 Model added (2/3) from ['node']
[ 2025-12-18 15:34:24 | node_4 | INFO ] 🧩 Model added (2/3) from ['node']
[ 2025-12-18 15:34:24 | node_2 | INFO ] 📤 Sending model to 2 direct neighbors: ['node_1', 'node_3']
[ 2025-12-18 15:34:24 | node_1 | INFO ] 🧩 Model added (3/3) from ['node_2']
[ 2025-12-18 15:34:25 | node_3 | INFO ] 🧩 Model added (2/3) from ['node_2']
[ 2025-12-18 15:34:25 | node_3 | INFO ] 📤 Sending model to 2 direct neighbors: ['node_2', 'node_4']
[ 2025-12-18 15:34:25 | node_2 | INFO ] 🧩 Model added (2/3) from ['node_3']
[ 2025-12-18 15:34:25 | node_4 | INFO ] 📤 Sending model to 2 direct neighbors: ['node', 'node_3']
[ 2025-12-18 15:34:25 | node_4 | INFO ] 🧩 Model added (3/3) from ['node_3']
[ 2025-12-18 15:34:25 | node | INFO ] 🧩 Model added (2/3) from ['node_4']
[ 2025-12-18 15:34:25 | node_3 | INFO ] 🧩 Model added (3/3) from ['node_4']
[ 2025-12-18 15:34:25 | node_3 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 15:34:25 | node_4 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 15:34:25 | node_3 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 15:34:25 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 15:34:26 | node_1 | INFO ] 📤 Sending model to 2 direct neighbors: ['node', 'node_2']
[ 2025-12-18 15:34:26 | node | INFO ] 🧩 Model added (3/3) from ['node_1']
[ 2025-12-18 15:34:26 | node | INFO ] 🧠 Aggregating models.
[ 2025-12-18 15:34:26 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 15:34:26 | node_2 | INFO ] 🧩 Model added (3/3) from ['node_1']
[ 2025-12-18 15:34:26 | node_2 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 15:34:26 | node_1 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 15:34:26 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 15:34:26 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:34:26 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 15:34:26 | node_1 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:34:26 | node_2 | INFO ] 🎉 Round 1 of 10 finished.
[ 2025-12-18 15:34:26 | node_1 | INFO ] 🎉 Round 1 of 10 finished.
[ 2025-12-18 15:34:26 | node_2 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:34:26 | node_1 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:34:26 | node_4 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:34:26 | node_3 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:34:26 | node_4 | INFO ] 🎉 Round 1 of 10 finished.
[ 2025-12-18 15:34:26 | node_3 | INFO ] 🎉 Round 1 of 10 finished.
[ 2025-12-18 15:34:26 | node_4 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:34:26 | node_3 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:34:27 | node | INFO ] 🤫 Gossip finished.
[ 2025-12-18 15:34:27 | node | INFO ] 🎉 Round 1 of 10 finished.
[ 2025-12-18 15:34:27 | node | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 15:34:27 | node | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:34:27 | node_4 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:34:27 | node | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_2', 'node', 'node_3', 'node_4']
[ 2025-12-18 15:34:27 | node_4 | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_2', 'node', 'node_3', 'node_4']
[ 2025-12-18 15:34:27 | node | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:34:27 | node_4 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:34:27 | node_1 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:34:27 | node_3 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:34:27 | node_1 | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_2', 'node', 'node_3', 'node_4']
[ 2025-12-18 15:34:27 | node_3 | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_2', 'node', 'node_3', 'node_4']
[ 2025-12-18 15:34:27 | node_1 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:34:27 | node_3 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:34:27 | node_2 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-18 15:34:27 | node_2 | INFO ] 🚂 Train set of 5 nodes: ['node_1', 'node_2', 'node', 'node_3', 'node_4']
[ 2025-12-18 15:34:27 | node_2 | INFO ] 🔬 Evaluating...
[ 2025-12-18 15:34:27 | node | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.3029079735279083, 'test_acc\n': 0.8999999761581421, 'test_precision\n': 0.9087077379226685, 'test_recall\n': 0.8967901468276978, 'test_f1\n': 0.8958749771118164}
[ 2025-12-18 15:34:27 | node | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:34:27 | node | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:34:27 | node_4 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.2975422739982605, 'test_acc\n': 0.9014999866485596, 'test_precision\n': 0.9097653031349182, 'test_recall\n': 0.8992654085159302, 'test_f1\n': 0.8976827263832092}
[ 2025-12-18 15:34:27 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:34:27 | node_3 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.27698615193367004, 'test_acc\n': 0.9120000004768372, 'test_precision\n': 0.9107920527458191, 'test_recall\n': 0.908538281917572, 'test_f1\n': 0.9055790901184082}
[ 2025-12-18 15:34:27 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:34:27 | node_4 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:34:27 | node_3 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:34:27 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.30129745602607727, 'test_acc\n': 0.9024999737739563, 'test_precision\n': 0.9041931629180908, 'test_recall\n': 0.9017927050590515, 'test_f1\n': 0.8986449241638184}
[ 2025-12-18 15:34:27 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:34:27 | node_1 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:34:28 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.30706581473350525, 'test_acc\n': 0.906000018119812, 'test_precision\n': 0.9058566689491272, 'test_recall\n': 0.9037888050079346, 'test_f1\n': 0.8999482989311218}
[ 2025-12-18 15:34:28 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 15:34:28 | node_2 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 15:34:30 | node | INFO ] 🎓 Training done.
[ 2025-12-18 15:34:30 | node | INFO ] 🧩 Model added (1/3) from ['node']
[ 2025-12-18 15:34:30 | node_3 | INFO ] 🎓 Training done.
[ 2025-12-18 15:34:30 | node_3 | INFO ] 🧩 Model added (1/3) from ['node_3']
[ 2025-12-18 15:34:30 | node_4 | INFO ] 🎓 Training done.
[ 2025-12-18 15:34:30 | node_4 | INFO ] 🧩 Model added (1/3) from ['node_4']
[ 2025-12-18 15:34:30 | node_1 | INFO ] 🎓 Training done.
