[ 2025-12-14 08:18:47 | node_13 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:47 | node_9 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:47 | node_12 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:48 | node_11 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:49 | node_10 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:19:01 | node_1 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:19:01 | node_1 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:19:23 | node_19 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:19:23 | node_19 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:19:24 | node_2 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:19:24 | node_2 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:19:47 | node_3 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:19:47 | node_3 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:19:48 | node_18 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:19:48 | node_18 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:19:48 | node_1 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 08:19:48 | node_1 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 08:20:10 | node | INFO ] 🤫 Gossip finished.
[ 2025-12-14 08:20:10 | node | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 08:20:11 | node_4 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:20:11 | node_4 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:20:12 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 08:20:12 | node_2 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 08:20:13 | node_17 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:20:13 | node_17 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:20:14 | node_19 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 08:20:14 | node_19 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 08:20:34 | node_5 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:20:34 | node_5 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:20:36 | node_3 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 08:20:36 | node_3 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 08:20:36 | node_16 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:20:36 | node_16 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:20:40 | node_18 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 08:20:40 | node_18 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 08:20:58 | node_6 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:20:58 | node_6 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:20:59 | node_4 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 08:20:59 | node_4 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 08:20:59 | node_15 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:20:59 | node_15 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:21:00 | node_17 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 08:21:00 | node_17 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 08:21:22 | node_5 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 08:21:22 | node_5 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 08:21:23 | node_16 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 08:21:23 | node_16 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 08:21:23 | node_14 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:21:23 | node_14 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:21:24 | node_7 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:21:24 | node_7 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:21:48 | node_15 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 08:21:48 | node_15 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 08:21:49 | node_13 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:21:49 | node_13 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:21:49 | node_8 | INFO ] 🤖 Model Weights Initialized
[ 2025-12-14 08:21:49 | node_8 | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:21:50 | node_1 | INFO ] Timeout for vote aggregation. Missing votes from {'node_10', 'node_8', 'node_15', 'node_9', 'node_11', 'node_12', 'node_6', 'node_7', 'node_14', 'node_13'}
[ 2025-12-14 08:21:50 | node_1 | INFO ] 🔢 Computed 10 votes.
[ 2025-12-14 08:21:50 | node_1 | INFO ] 🚂 Train set of 10 nodes: ['node_12', 'node_18', 'node_9', 'node_17', 'node_11', 'node_5', 'node_6', 'node_10', 'node_2', 'node']
[ 2025-12-14 08:21:50 | node_1 | INFO ] ⏳ Waiting aggregation.
[ 2025-12-14 08:21:52 | node_6 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 08:21:52 | node_6 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 08:22:11 | node | INFO ] Timeout for vote aggregation. Missing votes from {'node_10', 'node_8', 'node_9', 'node_11', 'node_12', 'node_7', 'node_14', 'node_13'}
[ 2025-12-14 08:22:11 | node | INFO ] 🔢 Computed 12 votes.
[ 2025-12-14 08:22:11 | node | INFO ] 🚂 Train set of 10 nodes: ['node_12', 'node_18', 'node_11', 'node_9', 'node_17', 'node_5', 'node_2', 'node_6', 'node_10', 'node']
