[ 2025-12-19 16:56:13 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:13 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:13 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:13 | node_20 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:13 | node_23 | ERROR ] Models ready from node_11 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:14 | node_18 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_9 | ERROR ] Vote received in a late round. Ignored. 80 != 99 / 100
[ 2025-12-19 16:56:14 | node_26 | ERROR ] Vote received in a late round. Ignored. 80 != 99 / 100
[ 2025-12-19 16:56:14 | node_28 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_16 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_18 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_9 | ERROR ] Vote received in a late round. Ignored. 80 != 99 / 100
[ 2025-12-19 16:56:14 | node_28 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_29 | ERROR ] Models ready from node_1 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:14 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_20 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_23 | ERROR ] Models ready from node_1 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:14 | node_1 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_29 | ERROR ] Models ready from node_20 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:14 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_23 | ERROR ] Models ready from node_20 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:14 | node_1 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_29 | ERROR ] Models ready from node_23 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:14 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_20 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_1 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_29 | ERROR ] Models ready from node_3 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:14 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_20 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_23 | ERROR ] Models ready from node_3 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:14 | node_1 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_20 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_23 | ERROR ] Models ready from node_29 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:14 | node_1 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_29 | ERROR ] Models ready from node_6 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:14 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_20 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_23 | ERROR ] Models ready from node_6 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:14 | node_1 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_29 | ERROR ] Models ready from node_4 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:14 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_20 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:14 | node_23 | ERROR ] Models ready from node_4 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:14 | node_1 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_29 | ERROR ] Vote received in a late round. Ignored. 94 != 99 / 100
[ 2025-12-19 16:56:14 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_4 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_11 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_20 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_1 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_29 | ERROR ] Vote received in a late round. Ignored. 94 != 99 / 100
[ 2025-12-19 16:56:14 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_4 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_11 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_20 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_23 | ERROR ] Vote received in a late round. Ignored. 94 != 99 / 100
[ 2025-12-19 16:56:14 | node_1 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_29 | ERROR ] Vote received in a late round. Ignored. 94 != 99 / 100
[ 2025-12-19 16:56:14 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_11 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_20 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_23 | ERROR ] Vote received in a late round. Ignored. 94 != 99 / 100
[ 2025-12-19 16:56:14 | node_1 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_29 | ERROR ] Vote received in a late round. Ignored. 94 != 99 / 100
[ 2025-12-19 16:56:14 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_4 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_11 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_23 | ERROR ] Vote received in a late round. Ignored. 94 != 99 / 100
[ 2025-12-19 16:56:14 | node_1 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_4 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_11 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_20 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_23 | ERROR ] Vote received in a late round. Ignored. 94 != 99 / 100
[ 2025-12-19 16:56:14 | node_1 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_29 | ERROR ] Vote received in a late round. Ignored. 94 != 99 / 100
[ 2025-12-19 16:56:14 | node_4 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_11 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_20 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_23 | ERROR ] Vote received in a late round. Ignored. 94 != 99 / 100
[ 2025-12-19 16:56:14 | node_29 | ERROR ] Vote received in a late round. Ignored. 94 != 99 / 100
[ 2025-12-19 16:56:14 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_4 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_11 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_20 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_23 | ERROR ] Vote received in a late round. Ignored. 94 != 99 / 100
[ 2025-12-19 16:56:14 | node_1 | ERROR ] Vote received when learning is not running
