[ 2025-12-19 08:58:01 | node_6 | ERROR ] Models ready from node_14 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:01 | node_14 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:01 | node_16 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:01 | node_6 | ERROR ] Models ready from node_21 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:01 | node_6 | ERROR ] Models ready from node_9 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:01 | node_3 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:01 | node_9 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:01 | node_26 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:01 | node_21 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:01 | node_28 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:03 | node_1 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:03 | node_23 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:04 | node_25 | ERROR ] Models ready from node_17 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:05 | node_25 | ERROR ] Models ready from node_21 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:08 | node_23 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node', 'node_22', 'node_2'}
[ 2025-12-19 08:58:08 | node_23 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 08:58:09 | node_6 | ERROR ] Models ready from node_23 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:11 | node_8 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_7', 'node_20', 'node_22', 'node_10'}
[ 2025-12-19 08:58:11 | node_8 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 08:58:11 | node_10 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 08:58:11 | node_22 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 08:58:11 | node_10 | INFO ] 🎉 Round 95 of 100 finished.
[ 2025-12-19 08:58:11 | node_22 | INFO ] 🎉 Round 95 of 100 finished.
[ 2025-12-19 08:58:11 | node_10 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:58:11 | node_22 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:58:11 | node_8 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:11 | node_8 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:11 | node_9 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:11 | node_13 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:11 | node_14 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:11 | node_23 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:11 | node_15 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:11 | node_12 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_5', 'node_13', 'node_24', 'node_11', 'node_18', 'node_25'}
[ 2025-12-19 08:58:12 | node_20 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 08:58:12 | node_20 | INFO ] 🎉 Round 95 of 100 finished.
[ 2025-12-19 08:58:12 | node_20 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:58:12 | node_8 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:12 | node_25 | ERROR ] Models ready from node_12 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:12 | node_12 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 08:58:12 | node_24 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 08:58:12 | node_24 | INFO ] 🎉 Round 95 of 100 finished.
[ 2025-12-19 08:58:12 | node_5 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 08:58:12 | node_24 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:58:12 | node_12 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:12 | node_5 | INFO ] 🎉 Round 95 of 100 finished.
[ 2025-12-19 08:58:12 | node_15 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:12 | node_5 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:58:12 | node_12 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:12 | node_16 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:12 | node_14 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:12 | node_16 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_1 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_3 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_16 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_21 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_23 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_28 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_6 | ERROR ] Models ready from node_12 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:13 | node_3 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_21 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_1 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_23 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_20 | ERROR ] Models ready from node_12 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:13 | node_1 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_9 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_14 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_1 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_9 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_14 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_23 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:13 | node_11 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 08:58:13 | node_11 | INFO ] 🎉 Round 95 of 100 finished.
[ 2025-12-19 08:58:13 | node_11 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:58:13 | node_12 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:14 | node_12 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:14 | node_17 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:14 | node_13 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:14 | node_3 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:14 | node_28 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:14 | node_21 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:14 | node_1 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:14 | node_13 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:14 | node_23 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:14 | node_13 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:14 | node_28 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:15 | node_17 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:17 | node_3 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_2', 'node_18', 'node', 'node_19', 'node_4'}
[ 2025-12-19 08:58:17 | node_1 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_7', 'node_4', 'node', 'node_2'}
[ 2025-12-19 08:58:19 | node_3 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 08:58:19 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 08:58:19 | node_19 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 08:58:19 | node_19 | INFO ] 🎉 Round 95 of 100 finished.
[ 2025-12-19 08:58:19 | node_19 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:58:19 | node_3 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:19 | node_21 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:19 | node_7 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 08:58:19 | node_18 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 08:58:19 | node_7 | INFO ] 🎉 Round 95 of 100 finished.
[ 2025-12-19 08:58:19 | node_18 | INFO ] 🎉 Round 95 of 100 finished.
[ 2025-12-19 08:58:19 | node_7 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:58:19 | node_18 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:58:19 | node_1 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:19 | node_3 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
