[ 2025-12-14 06:42:42 | node_19 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 06:42:42 | node_31 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 96.7653579711914, 'test_acc\n': 0.7549999952316284, 'test_precision\n': 0.7083336114883423, 'test_recall\n': 0.7197719812393188, 'test_f1\n': 0.6854873895645142}
[ 2025-12-14 06:42:42 | node_31 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:42 | node_13 | INFO ] 🎉 Round 77 of 100 finished.
[ 2025-12-14 06:42:42 | node_31 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:42 | node_13 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:42 | node_13 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 06:42:42 | node_13 | INFO ] 🚂 Train set of 1 nodes: ['node_13']
[ 2025-12-14 06:42:42 | node_13 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:42 | node_19 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 06:42:42 | node_19 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:42 | node_19 | INFO ] 🎉 Round 77 of 100 finished.
[ 2025-12-14 06:42:42 | node_19 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:42 | node_19 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 06:42:42 | node_19 | INFO ] 🚂 Train set of 1 nodes: ['node_19']
[ 2025-12-14 06:42:42 | node_19 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:42 | node_49 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 127.29759979248047, 'test_acc\n': 0.5649999976158142, 'test_precision\n': 0.7333618402481079, 'test_recall\n': 0.5911349058151245, 'test_f1\n': 0.564246654510498}
[ 2025-12-14 06:42:42 | node_49 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:42 | node_37 | INFO ] 🎓 Training done.
[ 2025-12-14 06:42:42 | node_49 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:42 | node_37 | INFO ] 🧩 Model added (1/1) from ['node_37']
[ 2025-12-14 06:42:42 | node_37 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:42 | node_37 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 06:42:42 | node_39 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 61.161338806152344, 'test_acc\n': 0.8050000071525574, 'test_precision\n': 0.7393156290054321, 'test_recall\n': 0.7412586808204651, 'test_f1\n': 0.7148994207382202}
[ 2025-12-14 06:42:42 | node_39 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:42 | node_39 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:42 | node_24 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 170.5389862060547, 'test_acc\n': 0.7350000143051147, 'test_precision\n': 0.7512539625167847, 'test_recall\n': 0.7316967844963074, 'test_f1\n': 0.716158390045166}
[ 2025-12-14 06:42:42 | node_24 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:42 | node_24 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:42 | node_37 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 06:42:42 | node_37 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:42 | node_37 | INFO ] 🎉 Round 82 of 100 finished.
[ 2025-12-14 06:42:42 | node_37 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:42 | node_37 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 06:42:42 | node_37 | INFO ] 🚂 Train set of 1 nodes: ['node_37']
[ 2025-12-14 06:42:42 | node_37 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:42 | node_44 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 114.7344741821289, 'test_acc\n': 0.6800000071525574, 'test_precision\n': 0.6403486132621765, 'test_recall\n': 0.6718941330909729, 'test_f1\n': 0.6036880016326904}
[ 2025-12-14 06:42:42 | node_44 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:42 | node_44 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:42 | node_46 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 222.2493133544922, 'test_acc\n': 0.6949999928474426, 'test_precision\n': 0.7244943380355835, 'test_recall\n': 0.6555728912353516, 'test_f1\n': 0.6209539175033569}
[ 2025-12-14 06:42:42 | node_46 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:42 | node_46 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:42 | node_28 | INFO ] 🎓 Training done.
[ 2025-12-14 06:42:42 | node_28 | INFO ] 🧩 Model added (1/1) from ['node_28']
[ 2025-12-14 06:42:42 | node_28 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:42 | node_28 | INFO ] 🧠 Aggregating models.
