[ 2025-12-17 01:12:14 | node_2 | INFO ] 🧩 Model added (1/9) from ['node_2']
[ 2025-12-17 01:12:19 | node | INFO ] 📤 Sending model to 8 direct neighbors: ['node_1', 'node_2', 'node_3', 'node_4', 'node_46', 'node_47', 'node_48', 'node_49']
[ 2025-12-17 01:12:19 | node_1 | INFO ] 🧩 Model added (2/9) from ['node']
[ 2025-12-17 01:12:19 | node_2 | INFO ] 🧩 Model added (2/9) from ['node']
[ 2025-12-17 01:12:19 | node_1 | INFO ] 📤 Sending model to 8 direct neighbors: ['node', 'node_2', 'node_3', 'node_4', 'node_5', 'node_47', 'node_48', 'node_49']
[ 2025-12-17 01:12:19 | node_2 | INFO ] 📤 Sending model to 8 direct neighbors: ['node', 'node_1', 'node_3', 'node_4', 'node_5', 'node_6', 'node_48', 'node_49']
[ 2025-12-17 01:12:19 | node | INFO ] 🧩 Model added (2/9) from ['node_1']
[ 2025-12-17 01:12:19 | node | INFO ] 🧩 Model added (3/9) from ['node_2']
[ 2025-12-17 01:12:19 | node_2 | INFO ] 🧩 Model added (3/9) from ['node_1']
[ 2025-12-17 01:12:19 | node_1 | INFO ] 🧩 Model added (3/9) from ['node_2']
[ 2025-12-17 01:12:23 | node_46 | INFO ] Timeout for vote aggregation. Missing votes from {'node', 'node_1', 'node_2'}
[ 2025-12-17 01:12:23 | node_46 | INFO ] 🔢 Computed 8 votes.
[ 2025-12-17 01:12:23 | node_46 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_2', 'node_49', 'node_6', 'node_4', 'node_5', 'node_47', 'node_48', 'node', 'node_46', 'node_3']
[ 2025-12-17 01:12:23 | node_46 | INFO ] 🔬 Evaluating...
[ 2025-12-17 01:12:24 | node_46 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6847345232963562, 'test_acc\n': 0.949999988079071, 'test_precision\n': 0.9546148777008057, 'test_recall\n': 0.9506824612617493, 'test_f1\n': 0.9510642886161804}
[ 2025-12-17 01:12:24 | node_46 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 01:12:24 | node_46 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 01:12:24 | node_46 | INFO ] 🎓 Training done.
[ 2025-12-17 01:12:24 | node_46 | INFO ] 🧩 Model added (1/5) from ['node_46']
[ 2025-12-17 01:12:25 | node_5 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2025-12-17 01:12:25 | node_5 | INFO ] 🎉 Round 74 of 100 finished.
[ 2025-12-17 01:12:25 | node_5 | INFO ] 🗳️ Sending train set vote.
