[ 2025-12-17 20:15:39 | node_10 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2025-12-17 20:15:39 | node_10 | INFO ] 🎉 Round 98 of 100 finished.
[ 2025-12-17 20:15:39 | node_10 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-17 20:15:39 | node_8 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:39 | node_9 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:39 | node_11 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:39 | node_14 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:39 | node_12 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:39 | node_14 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:40 | node_1 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:40 | node_23 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:40 | node_6 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:40 | node_12 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:40 | node_17 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:40 | node | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:41 | node_5 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:41 | node_13 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_9', 'node_12', 'node_14', 'node_22']
[ 2025-12-17 20:15:41 | node_22 | INFO ] 🧩 Model added (3/6) from ['node_13']
[ 2025-12-17 20:15:47 | node_25 | INFO ] Timeout for vote aggregation. Missing votes from {'node_1', 'node_12', 'node_17', 'node_23', 'node_11', 'node_5', 'node_14', 'node', 'node_9', 'node_8', 'node_6'}
[ 2025-12-17 20:15:47 | node_25 | INFO ] 🔢 Computed 18 votes.
[ 2025-12-17 20:15:47 | node_25 | INFO ] 🚂 Train set of 29 nodes: ['node_9', 'node_3', 'node_23', 'node_15', 'node_2', 'node_26', 'node_29', 'node_22', 'node_7', 'node_27', 'node_25', 'node_10', 'node_18', 'node_24', 'node_28', 'node_20', 'node_5', 'node_12', 'node_14', 'node_6', 'node_1', 'node_13', 'node_11', 'node_19', 'node_16', 'node_21', 'node', 'node_8', 'node_17']
[ 2025-12-17 20:15:47 | node_25 | INFO ] 🧩 Model added (1/6) from ['node_26']
[ 2025-12-17 20:15:47 | node_25 | INFO ] 🔬 Evaluating...
[ 2025-12-17 20:15:47 | node_25 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.18717943131923676, 'test_acc\n': 0.9849849939346313, 'test_precision\n': 0.9784719347953796, 'test_recall\n': 0.9829190373420715, 'test_f1\n': 0.9799518585205078}
[ 2025-12-17 20:15:47 | node_25 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 20:15:47 | node_25 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 20:15:47 | node_25 | INFO ] 🎓 Training done.
[ 2025-12-17 20:15:47 | node_25 | INFO ] 🧩 Model added (2/6) from ['node_25']
[ 2025-12-17 20:15:49 | node_2 | INFO ] Timeout for vote aggregation. Missing votes from {'node_1', 'node_12', 'node_17', 'node_23', 'node', 'node_5', 'node_14', 'node_11', 'node_9', 'node_8', 'node_6', 'node_10'}
[ 2025-12-17 20:15:49 | node_2 | INFO ] 🔢 Computed 17 votes.
[ 2025-12-17 20:15:49 | node_2 | INFO ] 🚂 Train set of 29 nodes: ['node_9', 'node_15', 'node_23', 'node_3', 'node_26', 'node_29', 'node_22', 'node_2', 'node_27', 'node_25', 'node_7', 'node_18', 'node_10', 'node_24', 'node_28', 'node_12', 'node_5', 'node_14', 'node_1', 'node_6', 'node_13', 'node_11', 'node_20', 'node_19', 'node_16', 'node_21', 'node', 'node_17', 'node_8']
[ 2025-12-17 20:15:49 | node_2 | INFO ] 🧩 Model added (1/8) from ['node_16']
[ 2025-12-17 20:15:49 | node_2 | INFO ] 🧩 Model added (2/8) from ['node_3']
[ 2025-12-17 20:15:49 | node_2 | INFO ] 🔬 Evaluating...
[ 2025-12-17 20:15:49 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.4669291377067566, 'test_acc\n': 0.9820359349250793, 'test_precision\n': 0.9797786474227905, 'test_recall\n': 0.9822307229042053, 'test_f1\n': 0.980304479598999}
[ 2025-12-17 20:15:49 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 20:15:49 | node_2 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 20:15:50 | node_2 | INFO ] 🎓 Training done.
[ 2025-12-17 20:15:50 | node_2 | INFO ] 🧩 Model added (3/8) from ['node_2']
[ 2025-12-17 20:15:51 | node_18 | INFO ] Timeout for vote aggregation. Missing votes from {'node_1', 'node_12', 'node_17', 'node_23', 'node_11', 'node_5', 'node_14', 'node', 'node_9', 'node_8', 'node_7', 'node_6'}
[ 2025-12-17 20:15:51 | node_18 | INFO ] 🔢 Computed 17 votes.
[ 2025-12-17 20:15:51 | node_18 | INFO ] 🚂 Train set of 29 nodes: ['node_3', 'node_9', 'node_23', 'node_2', 'node_26', 'node_29', 'node_22', 'node_15', 'node_25', 'node_7', 'node_27', 'node_10', 'node_18', 'node_24', 'node_28', 'node_12', 'node_5', 'node_14', 'node_6', 'node_13', 'node_19', 'node_1', 'node_11', 'node_20', 'node_16', 'node_21', 'node', 'node_8', 'node_17']
[ 2025-12-17 20:15:51 | node_18 | INFO ] 🧩 Model added (1/6) from ['node_19']
[ 2025-12-17 20:15:51 | node_18 | INFO ] 🧩 Model added (2/6) from ['node_3']
[ 2025-12-17 20:15:51 | node_18 | INFO ] 🔬 Evaluating...
[ 2025-12-17 20:15:52 | node_18 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6584964990615845, 'test_acc\n': 0.9729729890823364, 'test_precision\n': 0.9738406538963318, 'test_recall\n': 0.9693199992179871, 'test_f1\n': 0.9697628617286682}
[ 2025-12-17 20:15:52 | node_18 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 20:15:52 | node_18 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 20:15:52 | node_24 | INFO ] Timeout for vote aggregation. Missing votes from {'node_1', 'node_12', 'node_17', 'node_23', 'node', 'node_27', 'node_5', 'node_14', 'node_11', 'node_20', 'node_9', 'node_8', 'node_6', 'node_21'}
[ 2025-12-17 20:15:52 | node_24 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-17 20:15:52 | node_24 | INFO ] 🚂 Train set of 29 nodes: ['node_23', 'node_3', 'node_2', 'node_26', 'node_15', 'node_29', 'node_27', 'node_7', 'node_25', 'node_10', 'node_18', 'node_9', 'node_22', 'node_20', 'node_28', 'node_5', 'node_24', 'node_14', 'node_19', 'node_11', 'node_1', 'node_16', 'node_13', 'node_8', 'node_12', 'node_6', 'node_21', 'node', 'node_17']
[ 2025-12-17 20:15:52 | node_24 | INFO ] 🔬 Evaluating...
[ 2025-12-17 20:15:52 | node_18 | INFO ] 🎓 Training done.
[ 2025-12-17 20:15:52 | node_18 | INFO ] 🧩 Model added (3/6) from ['node_18']
[ 2025-12-17 20:15:52 | node_24 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.3677905797958374, 'test_acc\n': 0.9879879951477051, 'test_precision\n': 0.9871805310249329, 'test_recall\n': 0.990633487701416, 'test_f1\n': 0.9883187413215637}
[ 2025-12-17 20:15:52 | node_24 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 20:15:52 | node_25 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_11', 'node_12', 'node_23', 'node_24', 'node_26']
[ 2025-12-17 20:15:52 | node_24 | INFO ] 🧩 Model added (1/6) from ['node_25']
[ 2025-12-17 20:15:52 | node_24 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 20:15:52 | node_26 | INFO ] 🧩 Model added (5/7) from ['node_25']
[ 2025-12-17 20:15:53 | node_24 | INFO ] 🎓 Training done.
[ 2025-12-17 20:15:53 | node_24 | INFO ] 🧩 Model added (2/6) from ['node_24']
[ 2025-12-17 20:15:55 | node_2 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_1', 'node_3', 'node_5', 'node_16', 'node_21', 'node_23', 'node_28']
[ 2025-12-17 20:15:55 | node_3 | INFO ] 🧩 Model added (5/8) from ['node_2']
[ 2025-12-17 20:15:55 | node_16 | INFO ] 🧩 Model added (4/6) from ['node_2']
[ 2025-12-17 20:15:55 | node_21 | INFO ] 🧩 Model added (5/6) from ['node_2']
[ 2025-12-17 20:15:55 | node_28 | INFO ] 🧩 Model added (4/6) from ['node_2']
[ 2025-12-17 20:15:57 | node_18 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_3', 'node_10', 'node_12', 'node_17', 'node_19']
[ 2025-12-17 20:15:57 | node_3 | INFO ] 🧩 Model added (6/8) from ['node_18']
[ 2025-12-17 20:15:57 | node_19 | INFO ] 🧩 Model added (5/7) from ['node_18']
[ 2025-12-17 20:15:58 | node_24 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_1', 'node_12', 'node_15', 'node_23', 'node_25']
[ 2025-12-17 20:15:58 | node_15 | INFO ] 🧩 Model added (3/6) from ['node_24']
[ 2025-12-17 20:15:58 | node_25 | INFO ] 🧩 Model added (3/6) from ['node_24']
[ 2025-12-17 20:16:09 | node_10 | INFO ] Timeout for vote aggregation. Missing votes from {'node_1', 'node_12', 'node_17', 'node_23', 'node_11', 'node_5', 'node_14', 'node', 'node_9', 'node_8', 'node_6'}
[ 2025-12-17 20:16:09 | node_10 | INFO ] 🔢 Computed 18 votes.
[ 2025-12-17 20:16:09 | node_10 | INFO ] 🚂 Train set of 29 nodes: ['node_9', 'node_3', 'node_23', 'node_15', 'node_2', 'node_26', 'node_29', 'node_22', 'node_7', 'node_27', 'node_25', 'node_10', 'node_18', 'node_24', 'node_28', 'node_20', 'node_5', 'node_12', 'node_14', 'node_6', 'node_1', 'node_13', 'node_11', 'node_19', 'node_16', 'node_21', 'node', 'node_8', 'node_17']
[ 2025-12-17 20:16:09 | node_10 | INFO ] 🧩 Model added (1/7) from ['node_18']
[ 2025-12-17 20:16:09 | node_10 | INFO ] 🔬 Evaluating...
[ 2025-12-17 20:16:10 | node_7 | INFO ] Timeout for vote aggregation. Missing votes from {'node_1', 'node_12', 'node_17', 'node_23', 'node', 'node_5', 'node_14', 'node_11', 'node_9', 'node_8', 'node_6', 'node_25'}
[ 2025-12-17 20:16:10 | node_7 | INFO ] 🔢 Computed 17 votes.
[ 2025-12-17 20:16:10 | node_7 | INFO ] 🚂 Train set of 29 nodes: ['node_9', 'node_3', 'node_23', 'node_15', 'node_2', 'node_26', 'node_29', 'node_22', 'node_25', 'node_27', 'node_10', 'node_7', 'node_18', 'node_24', 'node_20', 'node_12', 'node_1', 'node_5', 'node_13', 'node_11', 'node_19', 'node_14', 'node_16', 'node_6', 'node_21', 'node_28', 'node', 'node_8', 'node_17']
[ 2025-12-17 20:16:10 | node_7 | INFO ] 🔬 Evaluating...
[ 2025-12-17 20:16:10 | node_10 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.081418752670288, 'test_acc\n': 0.954954981803894, 'test_precision\n': 0.9603393077850342, 'test_recall\n': 0.9529285430908203, 'test_f1\n': 0.9536671042442322}
[ 2025-12-17 20:16:10 | node_10 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 20:16:10 | node_10 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 20:16:10 | node_7 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.208694577217102, 'test_acc\n': 0.955089807510376, 'test_precision\n': 0.9624930024147034, 'test_recall\n': 0.9574040174484253, 'test_f1\n': 0.9584101438522339}
[ 2025-12-17 20:16:10 | node_7 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 20:16:10 | node_10 | INFO ] 🎓 Training done.
[ 2025-12-17 20:16:10 | node_10 | INFO ] 🧩 Model added (2/7) from ['node_10']
[ 2025-12-17 20:16:10 | node_7 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 20:16:10 | node_7 | INFO ] 🎓 Training done.
[ 2025-12-17 20:16:10 | node_7 | INFO ] 🧩 Model added (1/7) from ['node_7']
[ 2025-12-17 20:16:15 | node_10 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_8', 'node_9', 'node_11', 'node_14', 'node_15', 'node_18']
[ 2025-12-17 20:16:15 | node_15 | INFO ] 🧩 Model added (4/6) from ['node_10']
[ 2025-12-17 20:16:15 | node_18 | INFO ] 🧩 Model added (4/6) from ['node_10']
[ 2025-12-17 20:16:15 | node_7 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_1', 'node_5', 'node_6', 'node_8', 'node_9', 'node_22']
[ 2025-12-17 20:16:15 | node_22 | INFO ] 🧩 Model added (4/6) from ['node_7']
[ 2025-12-17 20:19:43 | node | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_20', 'node_29', 'node_3'}
[ 2025-12-17 20:19:43 | node_3 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:43 | node_20 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:43 | node_29 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:43 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-17 20:19:43 | node_19 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:43 | node_21 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:43 | node_27 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:43 | node_26 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:43 | node_28 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:43 | node_7 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:43 | node_15 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:43 | node_2 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:43 | node_22 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:43 | node_24 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:43 | node_25 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:44 | node_10 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:19:44 | node_18 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:02 | node_17 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_18', 'node_28', 'node_3', 'node_16', 'node_26'}
[ 2025-12-17 20:20:02 | node_3 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:02 | node_16 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:02 | node_18 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:02 | node_26 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:02 | node_28 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:02 | node_17 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-17 20:20:03 | node_10 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:03 | node_19 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:03 | node_2 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:03 | node_27 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:03 | node_29 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:03 | node_15 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:03 | node_25 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:03 | node_7 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:03 | node_13 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:03 | node_20 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:03 | node_21 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:03 | node_24 | ERROR ] Models ready from node_17 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:04 | node_12 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_18', 'node_24', 'node_28', 'node_13', 'node_25'}
[ 2025-12-17 20:20:04 | node_13 | ERROR ] Models ready from node_12 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:04 | node_18 | ERROR ] Models ready from node_12 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:04 | node_24 | ERROR ] Models ready from node_12 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:04 | node_25 | ERROR ] Models ready from node_12 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:04 | node_28 | ERROR ] Models ready from node_12 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:04 | node_12 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-17 20:20:04 | node_26 | ERROR ] Models ready from node_12 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:04 | node_15 | ERROR ] Models ready from node_12 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:04 | node_2 | ERROR ] Models ready from node_12 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:04 | node_27 | ERROR ] Models ready from node_12 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-17 20:20:04 | node_3 | ERROR ] Models ready from node_12 in a late round. Ignored. 99 != 98 / 97
